repeat	arm	value
1	stock	56.91	727.76	29.72	32711616	0
1	bypass	52.84	655.12	28.58	32686260	0
1	gpu	56.87	592.16	40.55	38786660	0
2	gpu	60.24	611.90	42.73	39376936	0
2	stock	56.43	727.92	28.74	32657028	0
2	bypass	52.26	651.99	27.53	32674484	0
3	bypass	57.48	654.54	32.62	32712540	0
3	gpu	55.29	609.44	38.46	39530276	0
3	stock	56.91	726.30	28.90	32739080	0
