task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
23	38/0af971	1614549	NFCORE_RNASEQ:RNASEQ:QUANTIFY_BAM_SALMON:QUANT_TXIMPORT_SUMMARIZEDEXPERIMENT:SE_GENE_UNIFIED (all_samples)	COMPLETED	0	2026-09-05 02:48:20.895	15.9s	15.5s	104.6%	802.7 MB	1.7 GB	67.2 MB	5 MB
22	88/83426b	1616272	NFCORE_RNASEQ:RNASEQ:QUANTIFY_BAM_SALMON:QUANT_TXIMPORT_SUMMARIZEDEXPERIMENT:SE_TRANSCRIPT_UNIFIED (all_samples)	COMPLETED	0	2026-09-05 02:48:27.461	1m 6s	1m 5s	101.6%	1.1 GB	2 GB	114.4 MB	13.6 MB
18	e2/3c29a1	1608897	NFCORE_RNASEQ:RNASEQ:BAM_MARKDUPLICATES_PICARD:PICARD_MARKDUPLICATES (NA12716_full)	COMPLETED	0	2026-09-05 02:46:31.277	18m 7s	18m 6s	118.2%	26.7 GB	35.8 GB	19.5 GB	10.9 GB
25	77/26242d	1630668	NFCORE_RNASEQ:RNASEQ:BAM_MARKDUPLICATES_PICARD:SAMTOOLS_INDEX (NA12716_full)	COMPLETED	0	2026-09-05 03:04:38.357	17.6s	16.2s	276.5%	64.6 MB	297.2 MB	9.5 GB	4.4 MB
28	ce/c78bbc	1633282	NFCORE_RNASEQ:RNASEQ:BAM_MARKDUPLICATES_PICARD:BAM_STATS_SAMTOOLS:SAMTOOLS_IDXSTATS (NA12716_full)	COMPLETED	0	2026-09-05 03:04:55.925	486ms	27ms	117.6%	3.2 MB	4.4 MB	4.5 MB	6.6 KB
27	2e/b29d93	1633292	NFCORE_RNASEQ:RNASEQ:BAM_MARKDUPLICATES_PICARD:BAM_STATS_SAMTOOLS:SAMTOOLS_FLAGSTAT (NA12716_full)	COMPLETED	0	2026-09-05 03:04:55.932	33.8s	33.3s	143.1%	6.8 MB	220.2 MB	9.5 GB	3 KB
29	29/60671c	1633349	NFCORE_RNASEQ:RNASEQ:BAM_MARKDUPLICATES_PICARD:BAM_STATS_SAMTOOLS:SAMTOOLS_STATS (NA12716_full)	COMPLETED	0	2026-09-05 03:04:55.947	1m 39s	1m 38s	151.0%	8.6 MB	221.7 MB	9.5 GB	262.4 KB
26	2a/66e0eb	1630651	NFCORE_RNASEQ:RNASEQ:BEDTOOLS_GENOMECOV_COMBINED (NA12716_full)	COMPLETED	0	2026-09-05 03:04:38.350	3m 53s	3m 52s	103.4%	3.7 GB	4.9 GB	10.4 GB	1.7 GB
24	e1/204d6c	1630687	NFCORE_RNASEQ:RNASEQ:STRINGTIE_STRINGTIE (NA12716_full)	COMPLETED	0	2026-09-05 03:04:38.364	4m 16s	4m 15s	152.4%	2 GB	2.1 GB	13.1 GB	1.3 GB
35	6f/a58dce	1633322	NFCORE_RNASEQ:RNASEQ:BAM_QC_RNASEQ:BAM_RSEQC:RSEQC_JUNCTIONSATURATION (NA12716_full)	COMPLETED	0	2026-09-05 03:04:55.940	4m 56s	4m 55s	101.4%	2 GB	2.9 GB	9.6 GB	28.1 KB
33	29/c9056d	1651339	NFCORE_RNASEQ:RNASEQ:BAM_QC_RNASEQ:BAM_RSEQC:RSEQC_INFEREXPERIMENT (NA12716_full)	COMPLETED	0	2026-09-05 03:09:51.525	2.9s	2.4s	188.4%	103.4 MB	944 MB	147.2 MB	676 B
32	3a/9ccfed	1641088	NFCORE_RNASEQ:RNASEQ:BAM_QC_RNASEQ:BAM_RSEQC:RSEQC_READDISTRIBUTION (NA12716_full)	COMPLETED	0	2026-09-05 03:06:34.581	5m 17s	5m 17s	100.8%	1.7 GB	2.6 GB	10.2 GB	1.6 KB
