# PROBE ONLY; same-algorithm agreement != upstream oracle; SA_SEARCH_FULL synthetic grid, remaining read length; variant=warp; pages=100% huge required; split=inner-only; validated20M/5M=/home/rborkows/uni-rnaseq-probe-lab/probe-measure-host1/probe-boundary.json; original probe-measure-host1 inputs
# PROBE index_hashes=Genome:44c54824a99ddcde29eee65ed77e1896adc2a75ecc4979a2096f3beb6040b0f6,SA:dc08616e0b01a8c1f9713e71a4eaf8d2354e559a4e1146aa294b3fbc507663d5,SAindex:975941953bc1348047b81799ca639ccb5e880faf0a04a3c640d065bdad1c620e,genomeParameters.txt:20d334fccd47efc59fbe3667d0cd69f5171e0e2fc7b16a2a57ca11370643d246,chrStart.txt:f61aef4f45ee4f41768bfce5c9879305326b86b342faef778d7670442ed4e853,chrLength.txt:d658af0c38effb24ff025667596d331fbd92cf2706bd8824840b54f727a6ea6c,chrName.txt:2a6ad41315a63770960b8d52773ce6067bbde58388bed67462354a18dc736333,chrNameLength.txt:2d8b1126abff7210cdcbeb1076d962d4e28113bea82b9a5ab6181e80b25de74b,sjdbInfo.txt:47b5b072d8d91160a493d341d2f074f144d0fb3deed5589dbd453118e2602588 request_sha256=c72a0eea30d9caef930481be96f901261dfed54ea2600a65fcf3087b530ac428 index_load_validation_s=54.207637 setup_s=55.104844 workers=20 bytes_copied_constant=0 (not a dynamic detector); index_SAindex_resident_bytes=1565873619
# PROBE synthetic/optimistic proof-of-capability only: SA_SEARCH_FULL, not captured STAR scheduler requests; not a correctness gate or SEED-CUDA
# PROBE compared_bytes and logical_gpu_GBs count scalar-equivalent logical work; warp speculative sequence reads after the first mismatch are actual extra loads excluded from these metrics
# PROBE mean/max_warp_byte_imbalance are software group-of-32 request-cost proxies, not hardware activity counters or actual intra-warp imbalance for warp-per-request
# PROBE request provenance: PROBE synthetic SA_SEARCH_FULL (not captured STAR scheduler requests)
# PROBE request provenance: count=4000000
# PROBE request provenance: seed=188140
# PROBE request provenance: visited_reads=4005246
# PROBE request provenance: sampled_reads=500000
# PROBE request provenance: skipped_non_acgt=1040
# PROBE request provenance: source_fastq=/home/rborkows/uni-rnaseq/data/samples/ERR188140_20M/ERR188140_20M_1.fastq.gz
# PROBE request provenance: source_sha256=47ce5be22f6c0d3a6510a821235ad2126dce533d3004f5d01a9f9d69638fd584
# PROBE request provenance: index_parameters_sha256=20d334fccd47efc59fbe3667d0cd69f5171e0e2fc7b16a2a57ca11370643d246
# PROBE request provenance: request_sha256=c72a0eea30d9caef930481be96f901261dfed54ea2600a65fcf3087b530ac428
# PROBE request provenance: seedSearchLmax=0 unlimited (pinned parametersDefault:575); N=remaining read length; grid=20; s1=position-wise complement
# PROBE CPU pointer genome=0xf43cf6200000 bytes=3263384238 page_report=PageReport { len: 3263384238, huge_bytes: 3263384238, kind: Thp, observed_at: SystemTime { tv_sec: 1788732510, tv_nsec: 803258869 }, fallback: false }
# PROBE CPU pointer sa=0xf43db8e00000 bytes=25352264482 page_report=PageReport { len: 25352264482, huge_bytes: 25352264482, kind: Hugetlb, observed_at: SystemTime { tv_sec: 1788732509, tv_nsec: 235717619 }, fallback: true }
# PROBE CPU pointer reads=0xf43c80600000 bytes=75000000 page_report=PageReport { len: 75000000, huge_bytes: 75000000, kind: Thp, observed_at: SystemTime { tv_sec: 1788732561, tv_nsec: 785865040 }, fallback: false }
# PROBE CPU pointer requests=0xf43c85200000 bytes=320000000 page_report=PageReport { len: 320000000, huge_bytes: 320000000, kind: Thp, observed_at: SystemTime { tv_sec: 1788732561, tv_nsec: 701871232 }, fallback: false }
mode	requests_per_arm	repeat	cpu_workers	cpu_s	gpu_wall_s	gpu_event_ms	device_call_wall_s	combined_s	cpu_rps	gpu_rps	GPU_RPS_over_CPU20_RPS	cpu_gpu_output_checksum	sa_gathers	compared_bytes	loop_trips	comparisons	mean_request_bytes	max_request_bytes	mean_loops	max_loops	mean_compare_bytes	max_compare_bytes	mean_warp_byte_imbalance	max_warp_byte_imbalance	logical_gpu_GBs	combined_rps	cpu_slowdown	gpu_slowdown
# PROBE overlap controls repeat=2 half=128000 CPU_first_half_s=0.025727725 GPU_second_half_device_s=0.003999342 GPU_second_half_total_s=0.004061231 cpu_checksum=e196115ea4abfa7f gpu_checksum=e8e3a6780147353b
PROBE-overlap	128000	2	20	0.026826209	0.004168415	4.158944	0.004168415	0.027047522	4771453.171	30707115.294	6.435590	e8e3a6780147353b	4767928	15531446	4511928	4767928	121.339	447	35.249	56	3.257	68	2.059764	3.817730	12.876566	9464822.692445	1.042697	1.042275
# PROBE overlap controls repeat=3 half=128000 CPU_first_half_s=0.024328344 GPU_second_half_device_s=0.004010559 GPU_second_half_total_s=0.004092447 cpu_checksum=e196115ea4abfa7f gpu_checksum=e8e3a6780147353b
PROBE-overlap	128000	3	20	0.025929294	0.004174559	4.165152	0.004174559	0.026075342	4936501.549	30661921.415	6.211265	e8e3a6780147353b	4767928	15531446	4511928	4767928	121.339	447	35.249	56	3.257	68	2.059764	3.817730	12.857614	9817704.404414	1.065806	1.040892
# PROBE warmup requests=1000000 rounds=32 event_ms=1016.7757 elapsed_s=1.304490; checks included, every GPU output consumed
PROBE-isolated	1000000	1	20	0.183129558	0.031576178	31.457792	0.031485409	0.000000000	5460614.938	31669443.971	5.799611	ce24af39f2c2fb14	37251259	121379208	35251259	37251259	121.379	554	35.251	58	3.258	70	2.064059	3.879047	13.281825	0.000000	0.000000	0.000000
PROBE-isolated	1000000	2	20	0.182139106	0.031571122	31.457472	0.031485122	0.000000000	5490309.149	31674515.717	5.769168	ce24af39f2c2fb14	37251259	121379208	35251259	37251259	121.379	554	35.251	58	3.258	70	2.064059	3.879047	13.283952	0.000000	0.000000	0.000000
PROBE-isolated	1000000	3	20	0.181975442	0.031589362	31.472639	0.031500546	0.000000000	5495246.991	31656226.549	5.760656	ce24af39f2c2fb14	37251259	121379208	35251259	37251259	121.379	554	35.251	58	3.258	70	2.064059	3.879047	13.276282	0.000000	0.000000	0.000000
# PROBE overlap controls repeat=1 half=500000 CPU_first_half_s=0.091367275 GPU_second_half_device_s=0.016179419 GPU_second_half_total_s=0.016265947 cpu_checksum=0b5f8e5bead5217b gpu_checksum=2a05824296d0a726
PROBE-overlap	500000	1	20	0.101147709	0.017005533	16.993055	0.017005533	0.101316046	4943265.695	29402195.156	5.947929	2a05824296d0a726	18623899	60612381	17623899	18623899	121.225	554	35.248	58	3.255	69	2.061652	3.879047	12.325610	9870104.879537	1.107045	1.051060
# PROBE overlap controls repeat=2 half=500000 CPU_first_half_s=0.091765883 GPU_second_half_device_s=0.015388967 GPU_second_half_total_s=0.015463639 cpu_checksum=0b5f8e5bead5217b gpu_checksum=2a05824296d0a726
PROBE-overlap	500000	2	20	0.100236090	0.016431804	16.391071	0.016431804	0.100580380	4988223.304	30428795.280	6.100127	2a05824296d0a726	18623899	60612381	17623899	18623899	121.225	554	35.248	58	3.255	69	2.061652	3.879047	12.755968	9942296.897268	1.092302	1.067765
# PROBE overlap controls repeat=3 half=500000 CPU_first_half_s=0.091882156 GPU_second_half_device_s=0.016186442 GPU_second_half_total_s=0.016278859 cpu_checksum=0b5f8e5bead5217b gpu_checksum=2a05824296d0a726
PROBE-overlap	500000	3	20	0.106735490	0.016914957	16.902657	0.016914957	0.107372516	4684477.487	29559637.663	6.310125	2a05824296d0a726	18623899	60612381	17623899	18623899	121.225	554	35.248	58	3.255	69	2.061652	3.879047	12.391611	9313370.285558	1.161656	1.045008
# PROBE warmup requests=4000000 rounds=8 event_ms=1014.59827 elapsed_s=1.312956; checks included, every GPU output consumed
PROBE-isolated	4000000	1	20	0.722321090	0.128047567	127.922462	0.127952207	0.000000000	5537703.461	31238391.277	5.641037	01d166f4fe4f6755	148996670	485224841	140996670	148996670	121.306	570	35.249	58	3.257	75	2.066296	3.962925	13.098243	0.000000	0.000000	0.000000
PROBE-isolated	4000000	2	20	0.722146402	0.126490105	126.373085	0.126401593	0.000000000	5539043.037	31623026.955	5.709114	01d166f4fe4f6755	148996670	485224841	140996670	148996670	121.306	570	35.249	58	3.257	75	2.066296	3.962925	13.259521	0.000000	0.000000	0.000000
PROBE-isolated	4000000	3	20	0.722829780	0.127147259	127.052063	0.127070491	0.000000000	5533806.313	31459584.984	5.684981	01d166f4fe4f6755	148996670	485224841	140996670	148996670	121.306	570	35.249	58	3.257	75	2.066296	3.962925	13.190990	0.000000	0.000000	0.000000
# PROBE overlap controls repeat=1 half=2000000 CPU_first_half_s=0.362191373 GPU_second_half_device_s=0.063078196 GPU_second_half_total_s=0.063158516 cpu_checksum=4573c6c25bf045eb gpu_checksum=d0f66c5eca10aa03
PROBE-overlap	2000000	1	20	0.397739997	0.067211395	67.196671	0.067211395	0.398770593	5028410.557	29756858.937	5.917746	d0f66c5eca10aa03	74497405	243091340	70497405	74497405	121.546	567	35.249	58	3.263	75	2.065179	3.962925	12.484052	10030829.931333	1.098149	1.065525
# PROBE overlap controls repeat=2 half=2000000 CPU_first_half_s=0.368985638 GPU_second_half_device_s=0.063038963 GPU_second_half_total_s=0.063133540 cpu_checksum=4573c6c25bf045eb gpu_checksum=d0f66c5eca10aa03
PROBE-overlap	2000000	2	20	0.397917774	0.066380160	66.365982	0.066380160	0.398947410	5026164.024	30129484.472	5.994529	d0f66c5eca10aa03	74497405	243091340	70497405	74497405	121.546	567	35.249	58	3.263	75	2.065179	3.962925	12.640382	10026384.179308	1.078410	1.053002
# PROBE overlap controls repeat=3 half=2000000 CPU_first_half_s=0.364044244 GPU_second_half_device_s=0.063951271 GPU_second_half_total_s=0.064030376 cpu_checksum=4573c6c25bf045eb gpu_checksum=d0f66c5eca10aa03
PROBE-overlap	2000000	3	20	0.397052347	0.066477872	66.463615	0.066477872	0.398137071	5037119.199	30085198.876	5.972699	d0f66c5eca10aa03	74497405	243091340	70497405	74497405	121.546	567	35.249	58	3.263	75	2.065179	3.962925	12.621803	10046791.146459	1.090671	1.039508
# PROBE COMPLETE agreement; same algorithm, not upstream oracle
