# PROBE ONLY; same-algorithm agreement != upstream oracle; SA_SEARCH_FULL synthetic grid, remaining read length; variant=thread; pages=100% huge required; split=inner-only; validated20M/5M=/home/rborkows/uni-rnaseq-probe-lab/probe-measure-host1/probe-boundary.json; original probe-measure-host1 inputs
# PROBE index_hashes=Genome:44c54824a99ddcde29eee65ed77e1896adc2a75ecc4979a2096f3beb6040b0f6,SA:dc08616e0b01a8c1f9713e71a4eaf8d2354e559a4e1146aa294b3fbc507663d5,SAindex:975941953bc1348047b81799ca639ccb5e880faf0a04a3c640d065bdad1c620e,genomeParameters.txt:20d334fccd47efc59fbe3667d0cd69f5171e0e2fc7b16a2a57ca11370643d246,chrStart.txt:f61aef4f45ee4f41768bfce5c9879305326b86b342faef778d7670442ed4e853,chrLength.txt:d658af0c38effb24ff025667596d331fbd92cf2706bd8824840b54f727a6ea6c,chrName.txt:2a6ad41315a63770960b8d52773ce6067bbde58388bed67462354a18dc736333,chrNameLength.txt:2d8b1126abff7210cdcbeb1076d962d4e28113bea82b9a5ab6181e80b25de74b,sjdbInfo.txt:47b5b072d8d91160a493d341d2f074f144d0fb3deed5589dbd453118e2602588 request_sha256=c72a0eea30d9caef930481be96f901261dfed54ea2600a65fcf3087b530ac428 index_load_validation_s=53.574780 setup_s=54.422369 workers=20 bytes_copied_constant=0 (not a dynamic detector); index_SAindex_resident_bytes=1565873619
# PROBE synthetic/optimistic proof-of-capability only: SA_SEARCH_FULL, not captured STAR scheduler requests; not a correctness gate or SEED-CUDA
# PROBE compared_bytes and logical_gpu_GBs count scalar-equivalent logical work; warp speculative sequence reads after the first mismatch are actual extra loads excluded from these metrics
# PROBE mean/max_warp_byte_imbalance are software group-of-32 request-cost proxies, not hardware activity counters or actual intra-warp imbalance for warp-per-request
# PROBE request provenance: PROBE synthetic SA_SEARCH_FULL (not captured STAR scheduler requests)
# PROBE request provenance: count=4000000
# PROBE request provenance: seed=188140
# PROBE request provenance: visited_reads=4005246
# PROBE request provenance: sampled_reads=500000
# PROBE request provenance: skipped_non_acgt=1040
# PROBE request provenance: source_fastq=/home/rborkows/uni-rnaseq/data/samples/ERR188140_20M/ERR188140_20M_1.fastq.gz
# PROBE request provenance: source_sha256=47ce5be22f6c0d3a6510a821235ad2126dce533d3004f5d01a9f9d69638fd584
# PROBE request provenance: index_parameters_sha256=20d334fccd47efc59fbe3667d0cd69f5171e0e2fc7b16a2a57ca11370643d246
# PROBE request provenance: request_sha256=c72a0eea30d9caef930481be96f901261dfed54ea2600a65fcf3087b530ac428
# PROBE request provenance: seedSearchLmax=0 unlimited (pinned parametersDefault:575); N=remaining read length; grid=20; s1=position-wise complement
# PROBE CPU pointer genome=0xe5bf1de00000 bytes=3263384238 page_report=PageReport { len: 3263384238, huge_bytes: 3263384238, kind: Thp, observed_at: SystemTime { tv_sec: 1788732580, tv_nsec: 629563450 }, fallback: false }
# PROBE CPU pointer sa=0xe5bfe0a00000 bytes=25352264482 page_report=PageReport { len: 25352264482, huge_bytes: 25352264482, kind: Hugetlb, observed_at: SystemTime { tv_sec: 1788732579, tv_nsec: 168685532 }, fallback: true }
# PROBE CPU pointer reads=0xe5bea8200000 bytes=75000000 page_report=PageReport { len: 75000000, huge_bytes: 75000000, kind: Thp, observed_at: SystemTime { tv_sec: 1788732631, tv_nsec: 377068127 }, fallback: false }
# PROBE CPU pointer requests=0xe5beace00000 bytes=320000000 page_report=PageReport { len: 320000000, huge_bytes: 320000000, kind: Thp, observed_at: SystemTime { tv_sec: 1788732631, tv_nsec: 292393213 }, fallback: false }
mode	requests_per_arm	repeat	cpu_workers	cpu_s	gpu_wall_s	gpu_event_ms	device_call_wall_s	combined_s	cpu_rps	gpu_rps	GPU_RPS_over_CPU20_RPS	cpu_gpu_output_checksum	sa_gathers	compared_bytes	loop_trips	comparisons	mean_request_bytes	max_request_bytes	mean_loops	max_loops	mean_compare_bytes	max_compare_bytes	mean_warp_byte_imbalance	max_warp_byte_imbalance	logical_gpu_GBs	combined_rps	cpu_slowdown	gpu_slowdown
PROBE-overlap	128000	2	20	0.025079098	0.002322376	2.314528	0.002322376	0.025192299	5103851.821	55115967.440	10.798896	e8e3a6780147353b	4767928	15531446	4511928	4767928	121.339	447	35.249	56	3.257	68	2.059764	3.817730	23.112050	10161835.567290	1.061574	1.014156
# PROBE overlap controls repeat=3 half=128000 CPU_first_half_s=0.023833925 GPU_second_half_device_s=0.002270392 GPU_second_half_total_s=0.002336424 cpu_checksum=e196115ea4abfa7f gpu_checksum=e8e3a6780147353b
PROBE-overlap	128000	3	20	0.025523708	0.002336296	2.328928	0.002336296	0.025765116	5014945.321	54787578.286	10.924861	e8e3a6780147353b	4767928	15531446	4511928	4767928	121.339	447	35.249	56	3.257	68	2.059764	3.817730	22.974345	9935914.901373	1.070898	1.029028
# PROBE warmup requests=1000000 rounds=57 event_ms=1007.557 elapsed_s=1.495761; checks included, every GPU output consumed
PROBE-isolated	1000000	1	20	0.180476298	0.017577056	17.474848	0.017501327	0.000000000	5540893.796	56892348.753	10.267720	ce24af39f2c2fb14	37251259	121379208	35251259	37251259	121.379	554	35.251	58	3.258	70	2.064059	3.879047	23.860041	0.000000	0.000000	0.000000
PROBE-isolated	1000000	2	20	0.179506567	0.017596015	17.484833	0.017512431	0.000000000	5570826.832	56831049.530	10.201547	ce24af39f2c2fb14	37251259	121379208	35251259	37251259	121.379	554	35.251	58	3.258	70	2.064059	3.879047	23.834333	0.000000	0.000000	0.000000
PROBE-isolated	1000000	3	20	0.179653432	0.017604063	17.490017	0.017517823	0.000000000	5566272.733	56805068.239	10.205225	ce24af39f2c2fb14	37251259	121379208	35251259	37251259	121.379	554	35.251	58	3.258	70	2.064059	3.879047	23.823437	0.000000	0.000000	0.000000
# PROBE overlap controls repeat=1 half=500000 CPU_first_half_s=0.090208613 GPU_second_half_device_s=0.008785488 GPU_second_half_total_s=0.008866816 cpu_checksum=0b5f8e5bead5217b gpu_checksum=2a05824296d0a726
PROBE-overlap	500000	1	20	0.094789958	0.009284034	9.271392	0.009284034	0.094938822	5274820.356	53855899.278	10.209997	2a05824296d0a726	18623899	60612381	17623899	18623899	121.225	554	35.248	58	3.255	69	2.061652	3.879047	22.576778	10533098.883405	1.050786	1.056747
# PROBE overlap controls repeat=2 half=500000 CPU_first_half_s=0.091201401 GPU_second_half_device_s=0.008786816 GPU_second_half_total_s=0.008880192 cpu_checksum=0b5f8e5bead5217b gpu_checksum=2a05824296d0a726
PROBE-overlap	500000	2	20	0.095987898	0.009284130	9.269984	0.009284130	0.096274603	5208989.992	53855342.396	10.338922	2a05824296d0a726	18623899	60612381	17623899	18623899	121.225	554	35.248	58	3.255	69	2.061652	3.879047	22.576544	10386955.321955	1.052483	1.056598
# PROBE overlap controls repeat=3 half=500000 CPU_first_half_s=0.089946756 GPU_second_half_device_s=0.008787408 GPU_second_half_total_s=0.008864736 cpu_checksum=0b5f8e5bead5217b gpu_checksum=2a05824296d0a726
PROBE-overlap	500000	3	20	0.094687813	0.009272769	9.260960	0.009272769	0.094861286	5280510.597	53921325.981	10.211385	2a05824296d0a726	18623899	60612381	17623899	18623899	121.225	554	35.248	58	3.255	69	2.061652	3.879047	22.604205	10541708.237015	1.052710	1.055234
# PROBE warmup requests=4000000 rounds=14 event_ms=1005.6214 elapsed_s=1.500223; checks included, every GPU output consumed
PROBE-isolated	4000000	1	20	0.717348953	0.072125332	72.004608	0.072030500	0.000000000	5576086.761	55459016.813	9.945867	01d166f4fe4f6755	148996670	485224841	140996670	148996670	121.306	570	35.249	58	3.257	75	2.066296	3.962925	23.253941	0.000000	0.000000	0.000000
PROBE-isolated	4000000	2	20	0.715529554	0.071824403	71.704605	0.071730995	0.000000000	5590265.248	55691378.319	9.962207	01d166f4fe4f6755	148996670	485224841	140996670	148996670	121.306	570	35.249	58	3.257	75	2.066296	3.962925	23.351370	0.000000	0.000000	0.000000
PROBE-isolated	4000000	3	20	0.711924342	0.070850063	70.727325	0.070755087	0.000000000	5618574.565	56457253.962	10.048323	01d166f4fe4f6755	148996670	485224841	140996670	148996670	121.306	570	35.249	58	3.257	75	2.066296	3.962925	23.672501	0.000000	0.000000	0.000000
# PROBE overlap controls repeat=1 half=2000000 CPU_first_half_s=0.356979767 GPU_second_half_device_s=0.034937757 GPU_second_half_total_s=0.035020734 cpu_checksum=4573c6c25bf045eb gpu_checksum=d0f66c5eca10aa03
PROBE-overlap	2000000	1	20	0.377411792	0.038773099	38.754974	0.038773099	0.378278323	5299251.487	51582154.937	9.733857	d0f66c5eca10aa03	74497405	243091340	70497405	74497405	121.546	567	35.249	58	3.263	75	2.065179	3.962925	21.640534	10574224.735579	1.057236	1.109776
# PROBE overlap controls repeat=2 half=2000000 CPU_first_half_s=0.357658377 GPU_second_half_device_s=0.035057262 GPU_second_half_total_s=0.035128335 cpu_checksum=4573c6c25bf045eb gpu_checksum=d0f66c5eca10aa03
PROBE-overlap	2000000	2	20	0.378275987	0.038253065	38.239105	0.038253065	0.379249814	5287145.018	52283392.194	9.888776	d0f66c5eca10aa03	74497405	243091340	70497405	74497405	121.546	567	35.249	58	3.263	75	2.065179	3.962925	21.934728	10547137.671108	1.057646	1.091160
# PROBE overlap controls repeat=3 half=2000000 CPU_first_half_s=0.357500344 GPU_second_half_device_s=0.034898910 GPU_second_half_total_s=0.034979262 cpu_checksum=4573c6c25bf045eb gpu_checksum=d0f66c5eca10aa03
PROBE-overlap	2000000	3	20	0.378255075	0.037382150	37.368160	0.037382150	0.378557892	5287437.320	53501470.622	10.118601	d0f66c5eca10aa03	74497405	243091340	70497405	74497405	121.546	567	35.249	58	3.263	75	2.065179	3.962925	22.445755	10566415.558971	1.058055	1.071155
# PROBE COMPLETE agreement; same algorithm, not upstream oracle
