0.08	std::istreambuf_iterator<char, std::char_traits<char> > std::num_get<char, std::istreambuf_iterator<char, std::char_traits<char> > >::_M_extract_int<unsigned long long>(std::istreambuf_iterator<char, std::char_traits<char> >, std::istreambuf_iterator<char, std::char_traits<char> >, std::ios_base&, std::_Ios_Iostate&, unsigned long long&) const
0.08	blocksOverlap(Transcript&, Transcript&)
0.08	std::istream::ignore(long, int)
0.08	memcpy@plt
0.08	0x0000000000008f08
0.08	sched_update_worker
0.07	el0_da
0.07	star_integrate::lookup(Parameters const&, Genome const&, char**, unsigned long, star_integrate::InnerCall const&, unsigned long*, unsigned long&, unsigned long&)
0.07	_raw_spin_lock
0.07	0x0000000000008cb4
0.07	filemap_get_pages
0.07	ReadAlign::writeSAM(unsigned long long, Transcript**, Transcript*)
0.07	ReadAlign::outputAlignments()
0.07	cfree@GLIBC_2.17
0.07	0x0000000000008cd0
0.07	Transcript::variationAdjust(Genome const&, char*)
0.07	vfs_write
0.06	__arch_copy_from_user
0.06	ksys_read
0.06	__strlen_asimd
0.06	std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_mutate(unsigned long, unsigned long, char const*, unsigned long)
0.06	0x0000000000008e64
0.06	0x0000000000008ba4
0.06	std::ostream::tellp()
0.05	0x0000000000007b5c
0.05	star_integrate_work::inner_call(bool)
0.05	0x0000000000008f84
29.14	compareSeqToGenome(Genome&, char**, unsigned long long, unsigned long long, unsigned long long, unsigned long long, bool, bool&)
5.38	ReadAlign::maxMappableLength2strands(unsigned long long, unsigned long long, unsigned long long, unsigned long long, unsigned long long, unsigned long long&, unsigned long long)
5.18	extendAlign(char*, char*, unsigned long long, unsigned long long, int, int, unsigned long long, unsigned long long, unsigned long long, unsigned long long, double, bool, Transcript*)
5.12	ReadAlign::stitchPieces(char**, unsigned long long)
4.24	__memset_zva64
4.11	ReadAlign::assignAlignToWindow(unsigned long long, unsigned long long, unsigned long long, unsigned long long, unsigned long long, unsigned long long, bool, unsigned long long)
3.90	stitchWindowAligns(unsigned long long, unsigned long long, int, bool*, unsigned long long, unsigned long long, Transcript, unsigned long long, unsigned long long (*) [7], char*, Genome&, Parameters&, Transcript**, unsigned long long*, ReadAlign*)
3.02	__memcpy_sve
2.98	Transcript::Transcript(Transcript const&)
2.75	stitchAlignToTranscript(unsigned long long, unsigned long long, unsigned long long, unsigned long long, unsigned long long, unsigned long long, unsigned long long, Parameters&, char*, Genome&, Transcript*, unsigned long long)
2.63	_raw_spin_unlock_irqrestore
2.23	_raw_spin_lock
1.55	__arch_copy_to_user
1.46	convertNucleotidesToNumbers(char const*, char*, unsigned long long)
1.19	complementSeqNumbers(char*, char*, unsigned long long)
1.13	__pi_clear_page
