0.17	std::basic_istream<char, std::char_traits<char> >& std::getline<char, std::char_traits<char>, std::allocator<char> >(std::basic_istream<char, std::char_traits<char> >&, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >&, char)
0.17	0x0000000000007b58
0.17	0x0000000000008c34
0.15	std::vector<int, std::allocator<int> >::operator=(std::vector<int, std::allocator<int> > const&) [clone .isra.0]
0.15	cfree@GLIBC_2.17
0.15	mas_walk
0.15	0x0000000000008c20
0.14	ReadAlignChunk::processChunks()
0.14	Transcript::Transcript()
0.14	ReadAlign::multMapSelect()
0.13	_raw_spin_lock
0.13	_raw_spin_trylock
0.13	Transcript::reset()
0.13	std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_replace(unsigned long, unsigned long, char const*, unsigned long)
0.13	Transcript::add(Transcript*)
0.13	std::locale::id::_M_id() const
0.12	std::_Sp_counted_ptr<star_integrate::(anonymous namespace)::Window*, (__gnu_cxx::_Lock_policy)2>::_M_dispose()
0.12	0x0000000000008cb4
0.12	memcmp
0.12	star_integrate_work::compare_begin()
0.12	0x0000000000008c2c
0.12	0x0000000000144dc0
0.11	0x0000000000008e20
0.11	std::ostream& std::ostream::_M_insert<long>(long)
0.11	__strlen_asimd
0.10	std::locale::operator=(std::locale const&)
0.10	0x0000000000008ed8
0.10	try_charge_memcg
0.10	osq_lock
0.10	star_integrate::begin_map(ReadAlign&)
0.10	0x0000000000008c1c
0.10	0x0000000000008be8
0.10	std::istreambuf_iterator<char, std::char_traits<char> > std::num_get<char, std::istreambuf_iterator<char, std::char_traits<char> > >::_M_extract_int<unsigned int>(std::istreambuf_iterator<char, std::char_traits<char> >, std::istreambuf_iterator<char, std::char_traits<char> >, std::ios_base&, std::_Ios_Iostate&, unsigned int&) const
0.09	0x0000000000008ec0
0.09	star_integrate::(anonymous namespace)::S()
0.09	__handle_mm_fault
0.09	std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_mutate(unsigned long, unsigned long, char const*, unsigned long)
0.09	star_integrate::reverse_suppressed(unsigned long)
0.09	blocksOverlap(Transcript&, Transcript&)
0.09	unlink_chunk.isra.0
0.08	0x0000000000002090
0.08	0x0000000000008f4c
0.08	el0_da
0.08	std::locale::locale()
0.08	down_write
0.07	memcpy@plt
0.07	void std::vector<unsigned char, std::allocator<unsigned char> >::_M_range_insert<__gnu_cxx::__normal_iterator<unsigned char*, std::vector<unsigned char, std::allocator<unsigned char> > > >(__gnu_cxx::__normal_iterator<unsigned char*, std::vector<unsigned char, std::allocator<unsigned char> > >, __gnu_cxx::__normal_iterator<unsigned char*, std::vector<unsigned char, std::allocator<unsigned char> > >, __gnu_cxx::__normal_iterator<unsigned char*, std::vector<unsigned char, std::allocator<unsigned char> > >, std::forward_iterator_tag) [clone .isra.0]
0.07	0x0000000000008bc0
0.07	std::istream::ignore()
0.07	usi_search_batch_v1
0.07	ReadAlign::outputAlignments()
0.07	0x0000000000008cd0
0.07	ReadAlign::writeSAM(unsigned long long, Transcript**, Transcript*)
0.07	0x0000000000008c50
0.07	get_page_from_freelist
0.07	0x0000000000008bcc
0.07	star_integrate::set_chain(unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long)
0.07	mas_next_slot
0.06	0x00000000001454c0
0.06	std::istream::get(char&)
