0.08	std::__istream_extract(std::istream&, char*, long)
0.08	Transcript::variationAdjust(Genome const&, char*)
0.08	__memcpy_chk
0.07	anon_pipe_put_page
0.07	0x0000000000008e64
0.07	0x0000000000007b5c
0.07	std::basic_ios<char, std::char_traits<char> >::_M_cache_locale(std::locale const&)
0.06	0x00000000001443e0
0.06	ReadAlign::outputAlignments()
0.06	std::istreambuf_iterator<char, std::char_traits<char> > std::num_get<char, std::istreambuf_iterator<char, std::char_traits<char> > >::_M_extract_int<unsigned int>(std::istreambuf_iterator<char, std::char_traits<char> >, std::istreambuf_iterator<char, std::char_traits<char> >, std::ios_base&, std::_Ios_Iostate&, unsigned int&) const
0.06	0x0000000000008e3c
0.06	0x0000000000008ba0
0.06	0x0000000000008ba4
0.06	0x0000000000007b60
0.06	0x0000000000008ea8
0.05	0x0000000000008cd0
0.05	_int_free
0.05	memcpy@plt
27.65	compareSeqToGenome(Genome&, char**, unsigned long long, unsigned long long, unsigned long long, unsigned long long, bool, bool&)
5.62	ReadAlign::stitchPieces(char**, unsigned long long)
5.51	ReadAlign::maxMappableLength2strands(unsigned long long, unsigned long long, unsigned long long, unsigned long long, unsigned long long, unsigned long long&, unsigned long long)
5.24	extendAlign(char*, char*, unsigned long long, unsigned long long, int, int, unsigned long long, unsigned long long, unsigned long long, unsigned long long, double, bool, Transcript*)
4.46	__memset_zva64
4.18	stitchWindowAligns(unsigned long long, unsigned long long, int, bool*, unsigned long long, unsigned long long, Transcript, unsigned long long, unsigned long long (*) [7], char*, Genome&, Parameters&, Transcript**, unsigned long long*, ReadAlign*)
4.09	ReadAlign::assignAlignToWindow(unsigned long long, unsigned long long, unsigned long long, unsigned long long, unsigned long long, unsigned long long, bool, unsigned long long)
3.32	Transcript::Transcript(Transcript const&)
3.21	__memcpy_sve
2.86	_raw_spin_unlock_irqrestore
2.81	stitchAlignToTranscript(unsigned long long, unsigned long long, unsigned long long, unsigned long long, unsigned long long, unsigned long long, unsigned long long, Parameters&, char*, Genome&, Transcript*, unsigned long long)
2.09	_raw_spin_lock
1.64	__arch_copy_to_user
1.57	convertNucleotidesToNumbers(char const*, char*, unsigned long long)
1.40	complementSeqNumbers(char*, char*, unsigned long long)
1.18	revComplementNucleotides(char*, char*, unsigned long long)
1.16	sjAlignSplit(unsigned long long, unsigned long long, Genome const&, unsigned long long&, unsigned long long&, unsigned long long&, unsigned long long&, unsigned long long&)
1.14	Transcript::operator=(Transcript const&) [clone .isra.0]
1.13	__pi_clear_page
1.01	binarySearch2(unsigned long long, unsigned long long, unsigned long long*, unsigned long long*, int)
0.84	__arch_copy_from_user
0.80	ReadAlign::oneRead()
0.79	folio_remove_rmap_ptes
0.79	maxMappableLength(Genome&, char**, unsigned long long, unsigned long long, unsigned long long, unsigned long long, bool, unsigned long long&, unsigned long long*)
0.76	page_counter_cancel
0.67	std::basic_ostream<char, std::char_traits<char> >& std::__ostream_insert<char, std::char_traits<char> >(std::basic_ostream<char, std::char_traits<char> >&, char const*, long)
0.61	ReadAlign::createExtendWindowsWithAlign(unsigned long long, unsigned long long)
0.56	0x0000000000007b6c
0.48	std::vector<int, std::allocator<int> >::operator=(std::vector<int, std::allocator<int> > const&) [clone .isra.0]
0.46	ReadAlign::outputTranscriptSAM(Transcript const&, unsigned long long, unsigned long long, unsigned long long, unsigned long long, char, int, bool*, std::ostream*)
0.38	log2@@GLIBC_2.29
0.35	up_read
0.34	local_daif_inherit
0.31	std::ostream::sentry::sentry(std::ostream&)
0.29	std::basic_streambuf<char, std::char_traits<char> >::xsputn(char const*, long)
0.29	std::vector<int, std::allocator<int> >::operator=(std::vector<int, std::allocator<int> > const&) [clone .isra.0]
0.23	std::ostream& std::ostream::_M_insert<unsigned long long>(unsigned long long)
0.23	ReadAlign::storeAligns(unsigned long long, unsigned long long, unsigned long long, unsigned long long, unsigned long long*, unsigned long long)
0.23	Transcript::reset()
0.20	Transcript::add(Transcript*)
0.19	std::istream::sentry::sentry(std::istream&, bool)
0.17	ReadAlign::mapOneRead()
0.17	__memcpy_generic
0.16	0x0000000000007b68
0.16	zap_present_ptes
0.16	0x0000000000144dc0
0.16	Transcript::Transcript()
0.15	__lruvec_stat_mod_folio
0.15	__memchr_generic
0.15	get_mem_cgroup_from_mm
0.14	mt_find
0.13	readLoad(std::istream&, Parameters&, unsigned long long&, unsigned long long&, char*, char*, char*, char*, std::vector<ClipMate, std::allocator<ClipMate> >&, unsigned long long&, unsigned int&, char&, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >&)
0.13	ReadAlign::multMapSelect()
