repeat	arm	wall_s	user_s	sys_s	max_rss_kib	exit
1	stock	56.08	725.20	27.09	32701708	0
1	bypass	43.73	643.75	18.43	32711912	0
1	gpu	70.94	591.86	62.34	35187816	0
2	gpu	70.06	591.53	64.59	35102540	0
2	stock	70.98	722.15	35.20	32684768	0
2	bypass	42.17	643.69	17.36	32701144	0
3	bypass	65.87	641.55	20.92	32697744	0
3	gpu	64.91	594.62	59.24	35187552	0
3	stock	71.25	721.91	32.16	32642760	0
