repeat	arm	wall_s	user_s	sys_s	max_rss_kib	exit
1	stock	57.49	725.89	28.73	32630260	0
1	bypass	55.09	728.01	25.91	32711604	0
1	gpu	131.15	744.28	75.25	54356740	0
2	gpu	139.19	744.65	82.31	54357320	0
2	stock	56.50	726.43	27.97	32685652	0
2	bypass	54.98	726.60	25.58	32673164	0
3	bypass	54.11	728.16	25.17	32669492	0
3	gpu	122.11	741.32	65.88	54357148	0
3	stock	56.76	726.27	28.19	32697312	0
