repeat	arm	wall_s	user_s	sys_s	max_rss_kib	exit
1	stock	55.95	725.24	25.99	32697960	0
1	bypass	57.15	774.95	25.25	32685824	0
1	gpu	143.77	827.53	76.60	54357368	0
2	gpu	132.87	827.39	66.76	54357276	0
2	stock	57.57	726.50	28.18	32698160	0
2	bypass	60.88	774.11	28.81	32700196	0
3	bypass	59.64	775.64	27.65	32697824	0
3	gpu	131.58	832.10	64.04	54357208	0
3	stock	56.23	725.87	27.17	32630640	0
