repeat	arm	wall_s	user_s	sys_s	max_rss_kib	exit
1	stock	72.64	725.37	32.06	32672892	0
1	bypass	76.95	775.12	29.82	32711440	0
1	gpu	158.17	842.42	75.41	54357088	0
2	gpu	147.88	840.24	67.93	54357572	0
2	stock	56.50	726.66	27.48	32712700	0
2	bypass	58.64	776.61	27.29	32656988	0
3	bypass	58.98	774.44	27.22	32670352	0
3	gpu	131.66	845.43	63.75	54356992	0
3	stock	56.99	726.63	28.42	32669860	0
