repeat	arm	wall_s	user_s	sys_s	max_rss_kib	exit
1	stock	55.09	725.87	26.85	32669788	0
1	bypass	60.52	776.52	29.57	32644052	0
1	gpu	310.97	1004.77	79.31	56360724	0
2	gpu	299.48	1004.59	66.80	56360836	0
2	stock	54.86	727.13	26.52	32725612	0
2	bypass	57.87	779.05	26.73	32671596	0
3	bypass	58.19	775.39	26.92	32673764	0
3	gpu	299.86	1005.00	66.46	56361004	0
3	stock	54.53	726.22	25.77	32670472	0
