repeat	arm	wall_s	user_s	sys_s	max_rss_kib	exit
1	stock	70.88	723.71	29.30	32671440	0
1	bypass	70.78	771.44	28.90	32673968	0
1	gpu	154.84	827.12	75.03	54356488	0
2	gpu	143.53	827.18	61.52	54357308	0
2	stock	56.76	723.45	28.59	32656812	0
2	bypass	60.52	772.71	29.05	32698948	0
3	bypass	58.75	770.01	27.67	32711676	0
3	gpu	137.65	828.05	63.12	54357168	0
3	stock	56.76	725.06	27.97	32698716	0
