repeat	arm	wall_s	user_s	sys_s	max_rss_kib	exit
1	stock	56.59	725.40	28.05	32670784	0
1	bypass	43.92	643.51	18.78	32658036	0
1	gpu	64.73	599.87	29.03	36230652	0
2	gpu	65.02	601.39	29.56	36208484	0
2	stock	77.75	723.39	31.35	32673116	0
2	bypass	42.56	643.52	18.33	32697664	0
3	bypass	71.39	642.12	19.98	32711436	0
3	gpu	66.17	599.76	28.61	36173900	0
3	stock	89.58	723.95	34.42	32695636	0
