task_id	name	status	exit	duration	realtime	%cpu	peak_rss	cpus
35	NFCORE_RNASEQ:RNASEQ:BAM_QC_RNASEQ:BAM_RSEQC:RSEQC_JUNCTIONSATURATION (NA12716_full)	COMPLETED	0	4m 56s	4m 55s	101.4%	2 GB	6
29	NFCORE_RNASEQ:RNASEQ:BAM_MARKDUPLICATES_PICARD:BAM_STATS_SAMTOOLS:SAMTOOLS_STATS (NA12716_full)	COMPLETED	0	1m 39s	1m 38s	151.0%	8.6 MB	1
31	NFCORE_RNASEQ:RNASEQ:BAM_QC_RNASEQ:DUPRADAR (NA12716_full)	COMPLETED	0	14m 44s	14m 44s	101.2%	768.6 MB	1
32	NFCORE_RNASEQ:RNASEQ:BAM_QC_RNASEQ:BAM_RSEQC:RSEQC_READDISTRIBUTION (NA12716_full)	COMPLETED	0	5m 17s	5m 17s	100.8%	1.7 GB	6
36	NFCORE_RNASEQ:RNASEQ:BAM_QC_RNASEQ:BAM_RSEQC:RSEQC_READDUPLICATION (NA12716_full)	COMPLETED	0	7m 49s	7m 48s	100.7%	11.9 GB	6
33	NFCORE_RNASEQ:RNASEQ:BAM_QC_RNASEQ:BAM_RSEQC:RSEQC_INFEREXPERIMENT (NA12716_full)	COMPLETED	0	2.9s	2.4s	188.4%	103.4 MB	6
37	NFCORE_RNASEQ:RNASEQ:BAM_QC_RNASEQ:BAM_RSEQC:RSEQC_BAMSTAT (NA12716_full)	COMPLETED	0	4m 40s	4m 39s	100.7%	48.4 MB	6
38	NFCORE_RNASEQ:RNASEQ:BAM_QC_RNASEQ:SUBREAD_FEATURECOUNTS (NA12716_full)	COMPLETED	0	1m 25s	1m 24s	198.0%	473.4 MB	6
34	NFCORE_RNASEQ:RNASEQ:BAM_QC_RNASEQ:BAM_RSEQC:RSEQC_JUNCTIONANNOTATION (NA12716_full)	COMPLETED	0	3m 54s	3m 54s	101.7%	151.5 MB	6
41	NFCORE_RNASEQ:RNASEQ:BAM_QC_RNASEQ:CUSTOM_MULTIQCCUSTOMBIOTYPE (NA12716_full)	COMPLETED	0	615ms	234ms	94.8%	2.2 MB	1
30	NFCORE_RNASEQ:RNASEQ:BAM_QC_RNASEQ:SAMTOOLS_SORT_QUALIMAP (NA12716_full)	COMPLETED	0	3m 4s	3m 4s	529.6%	5.3 GB	6
39	NFCORE_RNASEQ:RNASEQ:BAM_QC_RNASEQ:BAM_RSEQC:RSEQC_INNERDISTANCE (NA12716_full)	COMPLETED	0	38.6s	38.2s	106.4%	1.4 GB	6
40	NFCORE_RNASEQ:RNASEQ:BEDGRAPH_BEDCLIP_BEDGRAPHTOBIGWIG_COMBINED:UCSC_BEDCLIP (NA12716_full)	COMPLETED	0	5.3s	4.8s	100.5%	8.8 MB	6
42	NFCORE_RNASEQ:RNASEQ:BEDGRAPH_BEDCLIP_BEDGRAPHTOBIGWIG_COMBINED:UCSC_BEDGRAPHTOBIGWIG (NA12716_full)	COMPLETED	0	27.5s	27.1s	100.9%	86.2 MB	1
43	NFCORE_RNASEQ:RNASEQ:BAM_QC_RNASEQ:QUALIMAP_RNASEQ (NA12716_full)	COMPLETED	0	33m 19s	33m 17s	103.5%	17.8 GB	6
44	NFCORE_RNASEQ:RNASEQ:MULTIQC_RNASEQ:MULTIQC (multiqc_report)	COMPLETED	0	13.8s	13.3s	138.4%	1.1 GB	1
