# PROBE ONLY; same-algorithm agreement != upstream oracle; SA_SEARCH_FULL synthetic grid, remaining read length; variant=thread; pages=100% huge required; split=inner-only; evidence=/home/rborkows/uni-rnaseq-probe-lab/probe-measure-host1/probe-boundary.json; sha256=695e8d65a28de0cc8f5eee8ab59a1db9f476838764ef9f2887c9e663d3ae0d81; counter overhead not corrected
# PROBE index_hashes=Genome:44c54824a99ddcde29eee65ed77e1896adc2a75ecc4979a2096f3beb6040b0f6,SA:dc08616e0b01a8c1f9713e71a4eaf8d2354e559a4e1146aa294b3fbc507663d5,SAindex:975941953bc1348047b81799ca639ccb5e880faf0a04a3c640d065bdad1c620e,genomeParameters.txt:20d334fccd47efc59fbe3667d0cd69f5171e0e2fc7b16a2a57ca11370643d246,chrStart.txt:f61aef4f45ee4f41768bfce5c9879305326b86b342faef778d7670442ed4e853,chrLength.txt:d658af0c38effb24ff025667596d331fbd92cf2706bd8824840b54f727a6ea6c,chrName.txt:2a6ad41315a63770960b8d52773ce6067bbde58388bed67462354a18dc736333,chrNameLength.txt:2d8b1126abff7210cdcbeb1076d962d4e28113bea82b9a5ab6181e80b25de74b,sjdbInfo.txt:47b5b072d8d91160a493d341d2f074f144d0fb3deed5589dbd453118e2602588 request_sha256=c72a0eea30d9caef930481be96f901261dfed54ea2600a65fcf3087b530ac428 index_load_validation_s=62.584651 setup_s=63.636830 workers=20 bytes_copied_constant=0 (not a dynamic detector); index_SAindex_resident_bytes=1565873619
# PROBE request provenance: PROBE synthetic SA_SEARCH_FULL (not captured STAR scheduler requests)
# PROBE request provenance: count=4000000
# PROBE request provenance: seed=188140
# PROBE request provenance: visited_reads=4005246
# PROBE request provenance: sampled_reads=500000
# PROBE request provenance: skipped_non_acgt=1040
# PROBE request provenance: source_fastq=/home/rborkows/uni-rnaseq/data/samples/ERR188140_20M/ERR188140_20M_1.fastq.gz
# PROBE request provenance: source_sha256=47ce5be22f6c0d3a6510a821235ad2126dce533d3004f5d01a9f9d69638fd584
# PROBE request provenance: index_parameters_sha256=20d334fccd47efc59fbe3667d0cd69f5171e0e2fc7b16a2a57ca11370643d246
# PROBE request provenance: request_sha256=c72a0eea30d9caef930481be96f901261dfed54ea2600a65fcf3087b530ac428
# PROBE request provenance: seedSearchLmax=0 unlimited (pinned parametersDefault:575); N=remaining read length; grid=20; s1=position-wise complement
# PROBE CPU pointer genome=0xf3cbde200000 bytes=3263384238 page_report=PageReport { len: 3263384238, huge_bytes: 3263384238, kind: Thp, observed_at: SystemTime { tv_sec: 1788730361, tv_nsec: 757631080 }, fallback: false }
# PROBE CPU pointer sa=0xf3cca0e00000 bytes=25352264482 page_report=PageReport { len: 25352264482, huge_bytes: 25352264482, kind: Hugetlb, observed_at: SystemTime { tv_sec: 1788730359, tv_nsec: 643947100 }, fallback: true }
# PROBE CPU pointer reads=0xf3cb68600000 bytes=75000000 page_report=PageReport { len: 75000000, huge_bytes: 75000000, kind: Thp, observed_at: SystemTime { tv_sec: 1788730412, tv_nsec: 110612465 }, fallback: false }
# PROBE CPU pointer requests=0xf3cb6d200000 bytes=320000000 page_report=PageReport { len: 320000000, huge_bytes: 320000000, kind: Thp, observed_at: SystemTime { tv_sec: 1788730411, tv_nsec: 864676684 }, fallback: false }
mode	requests_per_arm	repeat	cpu_workers	cpu_s	gpu_wall_s	gpu_event_ms	device_call_wall_s	combined_s	cpu_rps	gpu_rps	GPU_RPS_over_CPU20_RPS	cpu_gpu_output_checksum	sa_gathers	compared_bytes	loop_trips	comparisons	mean_request_bytes	max_request_bytes	mean_loops	max_loops	mean_compare_bytes	max_compare_bytes	mean_warp_byte_imbalance	max_warp_byte_imbalance	logical_gpu_GBs	combined_rps	cpu_slowdown	gpu_slowdown
PROBE-overlap	128000	1	20	0.025360953	0.002327994	2.318720	0.002327994	0.025595081	5047128.947	54982959.578	10.893908	e8e3a6780147353b	4767928	15531446	4511928	4767928	121.339	447	35.249	56	3.257	68	2.059764	3.817730	23.056275	10001921.853656	1.053115	1.015495
# PROBE overlap controls repeat=2 half=128000 CPU_first_half_s=0.023793154 GPU_second_half_device_s=0.002284537 GPU_second_half_total_s=0.002372074 cpu_checksum=e196115ea4abfa7f gpu_checksum=e8e3a6780147353b
PROBE-overlap	128000	2	20	0.025722170	0.002353098	2.344800	0.002353098	0.025949595	4976252.004	54396374.482	10.931194	e8e3a6780147353b	4767928	15531446	4511928	4767928	121.339	447	35.249	56	3.257	68	2.059764	3.817730	22.810299	9865279.207633	1.081074	1.030011
# PROBE overlap controls repeat=3 half=128000 CPU_first_half_s=0.024154116 GPU_second_half_device_s=0.002263673 GPU_second_half_total_s=0.002363978 cpu_checksum=e196115ea4abfa7f gpu_checksum=e8e3a6780147353b
PROBE-overlap	128000	3	20	0.025522217	0.002320329	2.312096	0.002320329	0.025670633	5015238.292	55164590.883	10.999396	e8e3a6780147353b	4767928	15531446	4511928	4767928	121.339	447	35.249	56	3.257	68	2.059764	3.817730	23.132439	9972484.901327	1.056640	1.025028
# PROBE warmup requests=1000000 rounds=57 event_ms=1014.907 elapsed_s=1.538858; checks included, every GPU output consumed
PROBE-isolated	1000000	1	20	0.179423890	0.017643881	17.509920	0.017539800	0.000000000	5573393.822	56676872.849	10.169185	ce24af39f2c2fb14	37251259	121379208	35251259	37251259	121.379	554	35.251	58	3.258	70	2.064059	3.879047	23.769673	0.000000	0.000000	0.000000
PROBE-isolated	1000000	2	20	0.178944512	0.017625577	17.488256	0.017518440	0.000000000	5588324.497	56735731.261	10.152548	ce24af39f2c2fb14	37251259	121379208	35251259	37251259	121.379	554	35.251	58	3.258	70	2.064059	3.879047	23.794357	0.000000	0.000000	0.000000
PROBE-isolated	1000000	3	20	0.181020024	0.017614488	17.485504	0.017513048	0.000000000	5524250.732	56771448.594	10.276769	ce24af39f2c2fb14	37251259	121379208	35251259	37251259	121.379	554	35.251	58	3.258	70	2.064059	3.879047	23.809337	0.000000	0.000000	0.000000
# PROBE overlap controls repeat=1 half=500000 CPU_first_half_s=0.089943697 GPU_second_half_device_s=0.008966085 GPU_second_half_total_s=0.009065926 cpu_checksum=0b5f8e5bead5217b gpu_checksum=2a05824296d0a726
PROBE-overlap	500000	1	20	0.094882022	0.009284806	9.272896	0.009284806	0.095204088	5269702.199	53851421.344	10.219063	2a05824296d0a726	18623899	60612381	17623899	18623899	121.225	554	35.248	58	3.255	69	2.061652	3.879047	22.574901	10503750.637263	1.054905	1.035547
# PROBE overlap controls repeat=2 half=500000 CPU_first_half_s=0.093573825 GPU_second_half_device_s=0.008806356 GPU_second_half_total_s=0.008904340 cpu_checksum=0b5f8e5bead5217b gpu_checksum=2a05824296d0a726
PROBE-overlap	500000	2	20	0.097345952	0.009274486	9.261344	0.009274486	0.097733217	5136320.409	53911343.443	10.496102	2a05824296d0a726	18623899	60612381	17623899	18623899	121.225	554	35.248	58	3.255	69	2.061652	3.879047	22.600020	10231935.780851	1.040312	1.053158
# PROBE overlap controls repeat=3 half=500000 CPU_first_half_s=0.089831089 GPU_second_half_device_s=0.008817988 GPU_second_half_total_s=0.008927316 cpu_checksum=0b5f8e5bead5217b gpu_checksum=2a05824296d0a726
PROBE-overlap	500000	3	20	0.094474868	0.009238198	9.224768	0.009238198	0.094646229	5292412.793	54123109.290	10.226547	2a05824296d0a726	18623899	60612381	17623899	18623899	121.225	554	35.248	58	3.255	69	2.061652	3.879047	22.688794	10565661.311239	1.051695	1.047654
# PROBE warmup requests=4000000 rounds=14 event_ms=1004.9831 elapsed_s=1.531201; checks included, every GPU output consumed
PROBE-isolated	4000000	1	20	0.710115029	0.072843212	72.699135	0.072728859	0.000000000	5632890.217	54912460.477	9.748541	01d166f4fe4f6755	148996670	485224841	140996670	148996670	121.306	570	35.249	58	3.257	75	2.066296	3.962925	23.024770	0.000000	0.000000	0.000000
PROBE-isolated	4000000	2	20	0.713639490	0.071817255	71.731873	0.071758103	0.000000000	5605070.986	55696921.304	9.936881	01d166f4fe4f6755	148996670	485224841	140996670	148996670	121.306	570	35.249	58	3.257	75	2.066296	3.962925	23.353694	0.000000	0.000000	0.000000
PROBE-isolated	4000000	3	20	0.724711103	0.070884851	70.805405	0.070831874	0.000000000	5519440.758	56429546.561	10.223780	01d166f4fe4f6755	148996670	485224841	140996670	148996670	121.306	570	35.249	58	3.257	75	2.066296	3.962925	23.660883	0.000000	0.000000	0.000000
# PROBE overlap controls repeat=1 half=2000000 CPU_first_half_s=0.368477143 GPU_second_half_device_s=0.034961311 GPU_second_half_total_s=0.035037551 cpu_checksum=4573c6c25bf045eb gpu_checksum=d0f66c5eca10aa03
PROBE-overlap	2000000	1	20	0.395127221	0.037356745	37.338657	0.037356745	0.395318981	5061660.887	53537855.078	10.577132	d0f66c5eca10aa03	74497405	243091340	70497405	74497405	121.546	567	35.249	58	3.263	75	2.065179	3.962925	22.461020	10118411.187547	1.072325	1.068517
# PROBE overlap controls repeat=2 half=2000000 CPU_first_half_s=0.376095062 GPU_second_half_device_s=0.034895711 GPU_second_half_total_s=0.034969503 cpu_checksum=4573c6c25bf045eb gpu_checksum=d0f66c5eca10aa03
PROBE-overlap	2000000	2	20	0.378648225	0.037312313	37.298241	0.037312313	0.379601621	5281947.380	53601608.670	10.148077	d0f66c5eca10aa03	74497405	243091340	70497405	74497405	121.546	567	35.249	58	3.263	75	2.065179	3.962925	22.487766	10537362.800145	1.006789	1.069252
# PROBE overlap controls repeat=3 half=2000000 CPU_first_half_s=0.361871211 GPU_second_half_device_s=0.035132704 GPU_second_half_total_s=0.035225601 cpu_checksum=4573c6c25bf045eb gpu_checksum=d0f66c5eca10aa03
PROBE-overlap	2000000	3	20	0.376674568	0.037283192	37.270111	0.037283192	0.377684493	5309623.133	53643475.591	10.103066	d0f66c5eca10aa03	74497405	243091340	70497405	74497405	121.546	567	35.249	58	3.263	75	2.065179	3.962925	22.505331	10590850.495946	1.040908	1.061210
# PROBE COMPLETE agreement; same algorithm, not upstream oracle
